student_id,gender,archetype,Algorithm_&_Program_Design_Minor1,Algorithm_&_Program_Design_Minor2,Algorithm_&_Program_Design_EndSem,Database_Management_Systems_Minor1,Database_Management_Systems_Minor2,Database_Management_Systems_EndSem,Programming_with_Java_Minor1,Programming_with_Java_Minor2,Programming_with_Java_EndSem,Digital_Logic_&_Computer_Architecture_Minor1,Digital_Logic_&_Computer_Architecture_Minor2,Digital_Logic_&_Computer_Architecture_EndSem,Software_Engineering_Minor1,Software_Engineering_Minor2,Software_Engineering_EndSem,Theoretical_Computer_Science_Minor1,Theoretical_Computer_Science_Minor2,Theoretical_Computer_Science_EndSem,Advanced_Data_Structures_Minor1,Advanced_Data_Structures_Minor2,Advanced_Data_Structures_EndSem,Data_Communication_&_Networks_Minor1,Data_Communication_&_Networks_Minor2,Data_Communication_&_Networks_EndSem,Operating_Systems_&_Shell_Programming_Minor1,Operating_Systems_&_Shell_Programming_Minor2,Operating_Systems_&_Shell_Programming_EndSem,AI_&_ML_Minor1,AI_&_ML_Minor2,AI_&_ML_EndSem,Software_Testing_&_QA_Minor1,Software_Testing_&_QA_Minor2,Software_Testing_&_QA_EndSem,Analysis_&_Design_of_Algorithms_Minor1,Analysis_&_Design_of_Algorithms_Minor2,Analysis_&_Design_of_Algorithms_EndSem,Data_Mining_&_Warehousing_Minor1,Data_Mining_&_Warehousing_Minor2,Data_Mining_&_Warehousing_EndSem,Information_&_Cybersecurity_Minor1,Information_&_Cybersecurity_Minor2,Information_&_Cybersecurity_EndSem,Cloud_Computing_Minor1,Cloud_Computing_Minor2,Cloud_Computing_EndSem,Algorithm_&_Program_Design_IsWeak,Database_Management_Systems_IsWeak,Programming_with_Java_IsWeak,Digital_Logic_&_Computer_Architecture_IsWeak,Software_Engineering_IsWeak,Theoretical_Computer_Science_IsWeak,Advanced_Data_Structures_IsWeak,Data_Communication_&_Networks_IsWeak,Operating_Systems_&_Shell_Programming_IsWeak,AI_&_ML_IsWeak,Software_Testing_&_QA_IsWeak,Analysis_&_Design_of_Algorithms_IsWeak,Data_Mining_&_Warehousing_IsWeak,Information_&_Cybersecurity_IsWeak,Cloud_Computing_IsWeak
MCA23_0013,Male,highachiever,15,17,54,18,18,45,0,0,0,17,17,45,17,17,59,0,0,0,15,14,55,15,17,56,19,17,55,18,18,50,16,15,51,19,14,60,16,16,54,0,0,0,16,14,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_0014,Female,forced_weak,0,0,0,9,8,1,1,3,20,6,2,21,2,3,5,2,0,10,8,2,40,6,5,11,0,0,0,10,4,31,0,0,0,3,10,27,3,6,29,0,0,0,4,4,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0015,Male,forced_weak,1,10,12,3,2,26,0,0,0,7,4,13,0,0,0,0,0,0,0,0,0,0,0,0,10,6,21,10,8,18,0,0,0,1,10,13,2,0,17,3,10,21,4,4,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0016,Female,struggling,5,9,33,2,6,18,5,7,17,5,5,19,3,8,29,8,4,17,4,12,28,4,6,19,8,7,29,4,6,9,3,8,15,0,0,0,3,0,15,10,7,31,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0017,Male,highachiever,15,17,60,17,14,50,16,14,48,17,15,55,19,15,46,0,0,0,0,0,0,0,0,0,0,0,0,19,18,51,16,14,54,0,0,0,17,17,51,0,0,0,19,14,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_0018,Female,struggling,0,0,0,4,11,21,0,0,0,9,4,18,1,4,5,2,8,27,8,3,21,6,2,32,9,5,22,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8,8,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0019,Female,average,19,13,38,17,16,20,9,13,26,0,0,0,11,15,39,0,0,0,0,0,0,14,20,44,0,0,0,19,16,51,7,7,52,0,0,0,0,0,0,0,0,0,12,11,38,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0
MCA23_0020,Female,average,9,5,42,11,18,46,7,10,45,0,0,0,12,15,52,11,15,36,10,14,33,0,0,0,14,11,40,0,0,0,17,5,60,0,0,0,15,15,33,17,13,45,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
MCA23_0021,Male,forced_weak,4,3,23,2,7,18,3,7,16,7,7,6,8,0,31,0,0,0,8,10,16,0,0,0,8,7,40,5,0,21,0,3,36,0,0,0,4,8,21,6,1,15,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0022,Male,highachiever,15,14,56,16,17,55,0,0,0,0,0,0,17,14,50,15,19,46,0,0,0,0,0,0,0,0,0,15,16,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_0023,Male,forced_weak,3,5,6,0,0,0,4,0,5,0,0,0,7,0,33,7,4,8,8,4,19,6,2,17,7,7,27,0,0,0,0,0,0,10,4,15,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0024,Male,average,18,14,41,12,14,60,11,11,45,5,14,36,0,0,0,5,11,20,14,15,32,0,0,0,0,0,0,10,12,36,0,0,0,13,11,24,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0
MCA23_0025,Male,average,0,0,0,20,11,35,15,9,44,0,0,0,0,0,0,0,0,0,0,0,0,12,7,37,12,17,39,14,17,52,0,0,0,0,0,0,8,6,52,0,0,0,13,10,41,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
MCA23_0026,Female,specializedai,13,16,50,0,0,0,5,20,28,12,12,43,16,17,34,0,0,0,0,0,0,18,19,56,7,15,33,0,0,0,13,15,57,0,0,0,16,18,57,0,0,0,16,16,52,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
MCA23_0027,Male,specializedai,15,15,42,0,0,0,17,16,35,11,12,35,0,0,0,17,11,43,18,15,55,17,20,60,9,15,50,18,17,60,9,12,31,0,0,0,18,18,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
MCA23_0028,Female,average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,30,9,15,37,9,10,36,0,0,0,13,9,22,8,14,40,0,0,0,10,17,30,8,16,26,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0
MCA23_0029,Female,forced_weak,1,4,8,0,0,0,7,2,16,2,0,19,0,0,0,0,0,0,9,6,38,10,4,13,0,0,0,8,0,9,4,2,14,3,4,12,0,0,0,0,0,30,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0030,Male,average,0,0,0,12,17,51,0,0,0,13,12,43,0,0,0,8,18,53,12,5,33,18,13,30,0,0,0,0,0,0,0,0,0,0,0,0,11,15,39,9,15,28,17,12,42,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
MCA23_0031,Male,forced_weak,7,6,4,0,0,0,4,1,19,0,0,0,6,2,28,0,0,0,10,7,40,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,7,2,38,7,2,12,10,4,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0032,Male,average,0,0,0,11,5,44,13,19,46,20,14,38,0,0,0,12,5,44,0,0,0,0,0,0,0,0,0,14,13,32,12,10,42,0,0,0,0,0,0,7,6,48,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0
MCA23_0033,Male,struggling,0,0,0,0,0,0,10,9,23,9,2,22,0,0,0,12,7,28,0,10,20,4,5,11,10,4,16,6,9,22,0,0,0,0,0,0,6,4,31,0,0,0,6,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0034,Male,forced_weak,0,0,0,4,3,17,9,6,17,7,3,31,6,4,24,0,1,8,0,0,0,6,6,1,0,0,0,4,3,0,0,0,0,10,2,0,4,8,39,0,0,0,4,10,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0035,Female,highachiever,0,0,0,0,0,0,20,14,52,18,17,55,0,0,0,20,15,60,0,0,0,15,17,48,0,0,0,17,18,48,19,16,60,0,0,0,15,16,60,15,17,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_0036,Female,average,15,12,46,0,0,0,13,7,52,0,0,0,17,20,27,10,14,28,0,0,0,13,19,28,13,11,48,0,0,0,0,0,0,16,9,31,17,12,32,15,12,50,10,13,49,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
MCA23_0037,Male,specializedai,20,12,20,17,16,60,0,0,0,0,0,0,0,0,0,0,0,0,18,16,57,0,0,0,0,0,0,17,18,58,0,0,0,16,14,40,18,16,59,9,19,34,16,16,54,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
MCA23_0038,Male,forced_weak,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,3,4,32,6,1,22,6,8,35,1,2,7,0,0,0,4,4,21,0,0,0,5,10,20,4,3,18,9,0,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0039,Female,struggling,0,0,0,10,3,33,10,5,16,10,5,11,8,7,29,8,4,30,11,6,22,3,4,27,5,1,35,0,0,0,0,0,0,0,0,0,4,8,14,0,0,0,1,11,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0040,Male,highachiever,0,0,0,19,15,51,18,18,58,0,0,0,19,14,45,18,14,49,15,14,49,19,17,52,19,14,46,18,17,51,15,18,45,15,16,60,17,16,50,0,0,0,18,17,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_0041,Male,average,0,0,0,17,20,20,0,0,0,0,0,0,0,0,0,20,15,58,5,19,38,5,15,36,0,0,0,17,14,53,12,12,40,13,11,35,8,12,46,0,0,0,7,16,33,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
MCA23_0042,Male,forced_weak,0,0,0,4,2,28,0,0,0,0,3,19,0,2,9,0,0,0,0,0,0,10,9,7,0,0,0,7,9,8,2,8,22,6,6,23,0,0,0,4,4,4,6,6,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0043,Female,forced_weak,5,0,32,0,0,0,2,0,24,0,0,32,0,0,0,0,7,13,5,0,29,2,0,16,3,8,15,9,5,28,4,8,8,5,3,33,9,5,7,0,0,0,3,4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0044,Male,average,9,5,45,17,12,33,17,9,26,15,14,50,0,0,0,14,17,41,13,12,55,8,15,30,15,9,47,13,20,37,0,0,0,13,7,25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1
MCA23_0045,Female,average,0,0,0,15,18,43,9,20,37,0,0,0,16,18,37,0,0,0,0,0,0,0,0,0,11,13,57,8,8,39,15,15,43,13,17,20,0,0,0,18,10,54,11,13,45,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
MCA23_0046,Male,specializedai,12,19,46,0,0,0,0,0,0,19,18,41,0,0,0,20,13,31,0,0,0,0,0,0,0,0,0,18,19,53,0,0,0,13,16,28,0,0,0,14,8,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MCA23_0047,Female,average,19,14,58,10,14,36,15,17,46,17,13,38,5,16,41,0,0,0,12,11,42,0,0,0,12,14,38,15,7,25,0,0,0,17,14,29,17,14,25,0,0,0,5,8,51,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
MCA23_0048,Male,struggling,6,2,24,0,0,0,0,0,0,0,0,0,0,0,0,2,7,23,9,0,29,4,5,28,7,6,27,0,0,0,7,3,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0049,Male,average,7,9,41,14,12,37,0,0,0,0,0,0,8,9,38,0,0,0,9,17,28,10,16,20,13,9,40,11,20,36,20,16,31,14,12,42,10,20,49,0,0,0,17,14,43,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
MCA23_0050,Female,specializedai,0,0,0,19,17,53,0,0,0,0,0,0,9,16,52,0,0,0,17,16,52,0,0,0,0,0,0,0,0,0,11,11,53,0,0,0,15,18,56,0,0,0,19,16,57,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
MCA23_0051,Female,struggling,0,0,0,0,0,0,4,5,17,2,3,13,10,11,14,8,8,11,0,0,0,6,4,7,8,11,16,0,0,0,5,3,22,0,0,0,0,0,0,0,0,0,7,8,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0052,Female,average,10,10,21,13,20,39,5,17,23,0,0,0,0,0,0,16,19,59,0,0,0,0,0,0,0,0,0,13,11,44,20,7,45,12,15,35,0,0,0,0,0,0,15,6,50,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1
MCA23_0053,Female,specializedai,0,0,0,0,0,0,0,0,0,8,7,50,0,0,0,13,14,38,16,18,57,18,16,54,0,0,0,18,17,60,0,0,0,0,0,0,18,14,53,14,10,28,15,15,51,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
MCA23_0054,Male,average,9,6,41,0,0,0,14,10,52,17,16,38,0,0,0,19,18,32,0,0,0,14,6,28,0,0,0,14,15,38,0,0,0,11,11,44,11,13,47,5,19,40,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0
MCA23_0055,Female,average,7,17,30,8,17,43,16,17,59,12,8,42,10,10,40,16,10,52,9,13,43,11,6,49,10,16,27,0,0,0,11,15,30,0,0,0,0,0,0,0,0,0,11,9,40,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1
MCA23_0056,Male,forced_weak,0,0,0,6,3,15,7,7,36,0,0,0,10,7,12,0,0,0,1,2,27,8,5,17,0,4,25,4,4,18,4,5,17,9,0,14,2,5,20,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0057,Male,highachiever,0,0,0,15,16,52,16,14,58,0,0,0,0,0,0,17,16,59,16,18,50,0,0,0,0,0,0,0,0,0,16,14,55,19,14,60,18,18,55,15,17,50,17,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_0058,Male,average,15,18,44,12,11,29,16,17,24,19,16,53,0,0,0,15,20,47,12,9,52,9,20,37,19,16,38,0,0,0,0,0,0,0,0,0,0,0,0,5,8,32,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0
MCA23_0059,Female,average,0,0,0,0,0,0,8,15,50,13,19,24,5,15,42,0,0,0,0,0,0,8,10,23,0,0,0,9,16,52,0,0,0,16,12,40,0,0,0,13,12,44,7,12,40,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1
MCA23_0060,Male,specializedai,0,0,0,0,0,0,0,0,0,0,0,0,5,5,36,12,14,32,18,17,53,19,17,58,13,20,45,0,0,0,0,0,0,0,0,0,18,14,60,5,12,41,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
MCA23_0061,Female,forced_weak,0,0,0,7,4,20,0,0,0,2,6,0,0,0,0,9,2,21,0,0,0,0,0,0,0,1,30,2,7,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0062,Male,average,0,0,0,5,18,49,13,14,50,0,0,0,18,15,41,0,0,0,10,10,29,20,19,59,8,14,27,0,0,0,11,18,46,20,8,52,17,10,50,14,13,31,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0
MCA23_0063,Male,average,12,15,53,16,10,36,10,9,27,0,0,0,14,16,51,10,15,30,0,0,0,0,0,0,0,0,0,9,11,48,11,17,41,11,10,32,11,13,31,12,9,47,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
MCA23_0064,Male,average,13,15,43,10,15,44,0,0,0,14,16,37,9,14,41,7,17,49,10,9,36,0,0,0,0,0,0,0,0,0,17,9,40,0,0,0,0,0,0,15,12,30,20,7,37,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1
MCA23_0065,Female,forced_weak,0,0,0,0,0,0,1,2,21,4,2,27,5,5,17,3,2,29,2,5,36,4,7,25,0,0,0,5,3,20,3,8,3,0,0,0,8,4,22,0,3,28,0,5,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0066,Male,struggling,0,0,0,8,4,23,0,0,0,0,0,0,3,1,10,3,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,21,7,3,30,3,7,30,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0067,Male,specializedai,0,0,0,17,14,58,11,8,41,0,0,0,10,13,42,7,14,25,0,0,0,17,15,60,13,10,56,0,0,0,11,13,43,0,0,0,18,16,60,13,11,41,17,14,57,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
MCA23_0068,Female,specializedai,11,14,45,18,18,54,0,0,0,10,20,32,0,0,0,14,20,33,17,16,60,0,0,0,16,9,48,0,0,0,8,14,52,14,11,55,18,14,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MCA23_0069,Male,specializedai,15,17,41,0,0,0,0,0,0,9,16,45,0,0,0,0,0,0,17,17,57,0,0,0,0,0,0,0,0,0,16,16,48,10,14,20,18,18,54,14,7,31,18,18,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MCA23_0070,Female,average,16,14,25,0,0,0,10,12,46,10,13,60,7,6,47,10,12,32,11,20,48,16,8,28,5,10,49,0,0,0,0,0,0,0,0,0,11,16,60,12,15,32,13,15,41,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
MCA23_0071,Male,struggling,5,2,26,0,0,0,10,5,24,8,1,15,7,4,33,3,3,24,0,0,0,0,0,0,4,1,16,0,0,0,0,0,0,10,7,26,0,0,0,2,2,21,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0072,Female,highachiever,0,0,0,17,14,55,0,0,0,16,18,45,15,14,53,15,18,52,17,16,60,15,16,60,0,0,0,16,14,53,20,14,51,0,0,0,16,15,59,15,17,53,15,14,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_0073,Male,highachiever,0,0,0,15,16,53,0,0,0,0,0,0,0,0,0,0,0,0,19,14,57,17,17,60,0,0,0,17,14,58,17,15,50,16,14,52,0,0,0,17,15,52,19,16,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_0074,Female,average,9,13,31,0,0,0,0,0,0,0,0,0,16,13,34,7,9,20,12,11,30,0,0,0,0,0,0,0,0,0,0,0,0,15,12,25,12,18,24,8,14,30,9,12,26,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1
MCA23_0075,Male,struggling,0,0,0,9,6,20,3,5,23,0,0,0,0,0,0,1,6,10,4,7,34,0,0,0,0,0,0,7,11,8,5,0,18,4,1,28,7,8,18,0,0,0,9,4,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0076,Female,forced_weak,0,0,0,0,0,0,4,8,23,0,0,0,7,0,32,5,4,27,6,8,33,6,2,14,4,8,15,0,0,0,3,7,19,0,8,12,0,0,0,0,3,31,8,2,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0077,Male,average,20,11,28,9,13,40,13,20,56,18,20,48,0,0,0,0,0,0,12,16,40,0,0,0,12,15,47,0,0,0,14,16,49,8,18,32,0,0,0,13,17,23,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
MCA23_0078,Male,average,10,15,34,16,14,43,9,11,35,16,20,31,0,0,0,9,8,24,14,13,43,15,15,46,12,9,50,10,10,38,0,0,0,14,10,35,0,0,0,17,18,26,16,13,34,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0
MCA23_0079,Female,average,6,13,41,9,13,30,0,0,0,12,12,29,17,11,28,0,0,0,16,14,57,0,0,0,0,0,0,12,8,41,10,16,35,0,0,0,0,0,0,9,17,46,9,9,32,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1
MCA23_0080,Female,struggling,0,0,0,4,3,15,0,0,0,6,9,18,0,0,0,6,6,33,5,11,19,9,4,12,8,7,12,0,0,0,0,0,0,0,0,0,10,5,23,12,4,34,5,5,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0081,Male,highachiever,0,0,0,0,0,0,15,19,56,16,16,48,16,15,55,0,0,0,16,17,55,0,0,0,0,0,0,18,17,55,0,0,0,15,18,60,15,14,50,18,16,54,17,14,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_0082,Female,specializedai,12,20,40,16,16,51,14,15,49,9,14,26,15,16,44,0,0,0,17,17,51,17,17,60,11,13,35,17,17,50,18,11,47,7,16,46,18,15,56,0,0,0,18,17,52,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
MCA23_0083,Male,forced_weak,0,0,0,0,0,0,4,1,26,1,3,26,4,3,8,0,0,0,0,4,16,5,1,27,0,0,0,0,0,0,0,0,0,6,4,32,3,2,21,0,3,16,5,2,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0084,Male,average,17,10,25,0,0,0,9,14,45,12,19,31,0,0,0,0,0,0,0,0,0,10,14,33,14,12,42,8,10,26,10,5,36,10,14,40,0,0,0,0,0,0,6,12,37,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1
MCA23_0085,Male,forced_weak,0,0,0,0,0,0,0,0,0,5,1,28,5,0,17,5,3,32,8,3,15,4,4,14,0,10,20,0,0,0,3,1,1,0,1,26,0,0,0,5,3,15,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0086,Female,struggling,3,7,20,7,3,34,10,3,12,0,0,0,10,8,28,7,1,20,10,5,25,0,0,0,0,0,0,0,0,0,11,10,21,3,0,11,2,10,22,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_0087,Male,average,10,7,54,11,15,47,14,11,51,15,14,41,19,11,44,10,6,20,8,11,60,15,17,33,13,20,27,14,20,49,20,14,46,13,16,30,0,0,0,19,12,52,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
